검색게시글,유포게시물,유포사이트,게시자id,URL,탐지시간,고유번호,분류,용량
-,천만달성 2 0 1 9 [  기 생 충 ] 평점 9.06 봉준호 감독 송강호 주연 -@검은냥이,위디스크,eoghks3518,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28597789,2020-03-26 15:51:56,c28597789,일반,2.4G
-,[ 기생충 PARASITE ]2019.1080p.FHDRip.H264.AAC-NonDRM,위디스크,리틀아리,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28370130,2020-03-26 15:51:56,c28370130,일반,2.4G
-,기생충 (PARASITE 2019),위디스크,푸른바다별,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28472054,2020-03-26 15:51:56,c28472054,일반,2.4G
-,드디어 떳다 봉준호 [ 2019 기생충 ] FHD1080p 초고화질 [ 송강호 이선균 ],위디스크,mcdb,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28353074,2020-03-26 15:51:56,c28353074,일반,5.0G
-,미국판 기생충 내 집안의 이방인이 살고 있다 - 인터루더 2019,위디스크,크봉,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28428743,2020-03-26 15:51:56,c28428743,공포,1.4G
-,[기생충]HD 송강호 이선균 조여정 최우식 박소담,위디스크,momimoo,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28373073,2020-03-26 15:51:56,c28373073,일반,1.8G
-,[ 기생충 _ 최고화질 ] 송강호 이선균 조여정 최우식 박소담. 행복은 나눌수록 커지잖아요!,위디스크,메뚝이너,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28351082,2020-03-26 15:51:56,c28351082,일반,3.0G
-,기생충[드라마][송강호 주연][고화질 1080P],위디스크,xormrwh001,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28351550,2020-03-26 15:51:56,c28351550,일반,5.0G
-,2 0 1 9 FHD [ 기 생 충 ] 송 강 호 이 선 균 조 여 정 정 식 원 본 1080P,위디스크,sondan,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28349621,2020-03-26 15:51:56,c28349621,일반,3.8G
-,기생충 1080p 네이버 정식,위디스크,pkmy421,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28348133,2020-03-26 15:51:56,c28348133,일반,5.0G
-,[발킬머주연!지구온난화로인한재난!빙하시대기생충의역습!]더 소우-해빙The ThawDVD.,위디스크,wilddog35,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=13247476,2020-03-26 15:51:57,c13247476,공포,1.4G
-,[SF공포] 기생충 감염 - 더 베이 - [한글자막],위디스크,가리오스,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=20724268,2020-03-26 15:51:57,c20724268,공포,2.5G
-,[공포] 공포의 기생충 ** 더 베이 (The bay) ** 한글자막,위디스크,fjtpf,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=23804084,2020-03-26 15:51:57,c23804084,공포,2.5G
-,[1080p] 스타쉽트루퍼스2 기생충 괴물의 탄생,위디스크,migdinod,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=16780469,2020-03-26 15:51:57,c16780469,판타지,15G
-,[1080p] 기생충 Parasite.2019.KOREAN.1080p.WEBRip.x264.AAC2.0-NOGRP 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28384705,2020-03-26 15:51:57,c28384705,일반,5.0G
-,1080p-[ 기생충 _ 초특급화질 ] 조여정 송강호 박소담 이선균 최우식. 행복은 나눌수록 커지잖아요!,위디스크,메뚝이너,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28351092,2020-03-26 15:51:57,c28351092,일반,5.0G
-,[ 기생충 ] PARASITE.2019.720p.HDRip.H264.AAC-NonDRM,위디스크,리틀아리,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=28370128,2020-03-26 15:51:57,c28370128,일반,3.0G
-,<기생충.PARASITE .2020> 초고화질한국아카데미 작품상감독상봉준호감독송강호조여정골든글로브칸 황금종려상명작,위디스크,best108,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29192979,2020-03-26 15:51:57,c29192979,일반,4.1G
-,[720p] 기생충 PARASITE.2019.720p.HDRip.H264.AAC-NonDRM 봉준호 송강호 이선균 조여정 최우식 박소담 정지소,위디스크,밀라,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29081507,2020-03-26 15:51:57,c29081507,한국영화,3.0G
-,(한국 영화)기생충(PARASITE)(2019),위디스크,tkn37,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29306768,2020-03-26 15:51:57,c29306768,한국영화,6.6G
-,[720p] 기생충 2019 송강호 이선균 조여정 박소담 5,위디스크,방송원본,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29304649,2020-03-26 15:51:57,c29304649,한국영화,9.6G
-,[BR 1080p] 기생충 Parasite.2019.INTERNAL.1080p.BluRay.X264-AMIABLE,위디스크,navelious,http://www.wedisk.co.kr/wediskNew/contentsView.do?contentsID=29301935,2020-03-26 15:51:57,c29301935,한국영화,20G
